name,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,pr_count,pace_seconds_100m
Bicicleta de montaña a la hora del almuerzo,2025-12-08 11:06:39+00:00,17061.8,2912,2945,180.0,5.859,10.333,,,1,17.067759003242873
Bicicleta de montaña a la hora del almuerzo,2025-10-04 11:36:48+00:00,23674.2,5096,5443,285.0,4.646,10.767,,,0,21.52389151958674
Bicicleta de carretera a la hora del almuerzo,2025-09-13 11:44:36+00:00,20503.5,3067,3542,165.0,6.685,12.48,,,4,14.958863126402393
Bicicleta de montaña a la hora del almuerzo,2025-08-15 11:53:57+00:00,24241.1,5528,6240,300.0,4.385,14.0,,,0,22.80501710376283
Bicicleta de montaña matutina,2025-08-09 10:11:47+00:00,26304.7,4718,5993,286.0,5.575,13.48,,,1,17.937219730941703
Bicicleta de montaña a la hora del almuerzo,2025-08-03 11:13:12+00:00,17706.1,3604,4134,200.0,4.913,11.917,,,0,20.35416242621616
Bicicleta de montaña vespertina,2025-07-13 20:07:29+00:00,16269.6,3530,3554,198.0,4.609,8.86,,,0,21.696680407897592
Bicicleta de montaña pasada por agua,2025-06-22 11:09:53+00:00,33293.4,6763,8142,353.0,4.923,11.68,,,0,20.312817387771684
Bicicleta de montaña vespertina,2025-06-05 19:42:19+00:00,22227.4,4697,4827,280.0,4.732,11.086,,,0,21.132713440405748
Bicicleta de montaña vespertina,2025-05-22 18:35:27+00:00,20836.3,4373,4559,230.0,4.765,12.467,,,2,20.986358866736623
Bicicleta de carretera matutina,2025-05-10 10:14:38+00:00,20551.5,3251,3505,170.0,6.322,11.88,,,2,15.817779183802594
Bicicleta de montaña por la tarde,2025-04-01 14:34:27+00:00,24489.7,5234,2177525,304.0,4.679,11.94,,,1,21.372088053002777
Bicicleta de montaña a la hora del almuerzo,2025-03-30 11:59:49+00:00,15672.0,3546,3791,195.0,4.42,12.383,,,1,22.624434389140273
Bicicleta de montaña a la hora del almuerzo,2024-12-31 11:17:07+00:00,48137.3,11273,12791,747.0,4.27,13.083,,,18,23.4192037470726
