name,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,pr_count,distance_km,pace_min_km
Carrera a la hora del almuerzo,2025-12-07 11:43:27+00:00,3512.7,1482,1485,34.6,2.37,3.447,163.6,180.0,0,3.5126999999999997,7.0323628691983116
Carrera de noche,2025-12-04 18:29:57+00:00,4015.0,1774,1774,37.8,2.263,3.08,161.5,175.0,0,4.015,7.364869642068051
Carrera de tarde,2025-11-27 17:20:38+00:00,4014.8,1901,1906,31.8,2.112,3.187,162.0,177.0,0,4.0148,7.8914299242424235
Carrera de mañana,2025-11-23 10:56:16+00:00,3712.3,1679,1682,33.0,2.211,3.0,161.7,171.0,0,3.7123000000000004,7.538082315694256
Carrera de noche,2025-11-20 18:23:43+00:00,3252.5,1497,1502,30.4,2.173,3.18,157.1,166.0,0,3.2525,7.669903359410952
Carrera de noche,2025-11-13 18:53:41+00:00,2717.2,1252,1261,29.2,2.17,2.98,156.8,166.0,0,2.7171999999999996,7.680506912442396
Carrera a la hora del almuerzo,2025-11-08 12:56:46+00:00,1848.2,834,839,21.6,2.216,2.98,153.6,167.0,0,1.8482,7.521074007220215
Carrera de noche,2025-11-06 18:20:48+00:00,2049.4,899,907,24.4,2.28,3.06,159.4,172.0,0,2.0494,7.309956140350877
Carrera a la hora del almuerzo,2025-07-27 11:26:30+00:00,1609.6,676,684,21.8,2.381,3.16,154.9,168.0,0,1.6096,6.99987400251995
Carrera a la hora del almuerzo,2025-07-20 11:14:58+00:00,2016.6,906,911,17.4,2.226,2.94,160.3,175.0,0,2.0166,7.48728661275831
Carrera a la hora del almuerzo,2025-07-14 12:12:56+00:00,1816.8,721,730,22.4,2.52,3.4,166.2,177.0,0,1.8168,6.613769841269841
Carrera a la hora del almuerzo,2025-06-14 12:51:17+00:00,1353.4,597,601,12.0,2.267,3.16,156.8,171.0,0,1.3534000000000002,7.351874724305249
Carrera nocturna,2025-03-06 21:21:49+00:00,3205.7,1405,1413,67.2,2.282,3.24,159.1,178.0,0,3.2056999999999998,7.303549517966696
Carrera de noche tortuga 2,2025-02-02 19:30:21+00:00,3988.9,1798,1803,36.8,2.219,3.033,158.5,169.0,0,3.9889,7.510905813429472
Carrera de noche,2025-01-27 19:30:32+00:00,4017.9,1597,1602,45.4,2.516,3.56,162.5,177.0,0,4.0179,6.624284578696343
Carrera de noche,2025-01-19 19:41:39+00:00,3509.4,1398,1398,37.0,2.51,3.3,145.2,178.0,1,3.5094000000000003,6.640119521912351
Probando la máquina,2024-12-14 19:21:07+00:00,3239.6,1419,1422,38.6,2.283,3.28,156.0,168.0,0,3.2396,7.300350416119141
Probando lesión,2024-10-25 18:19:11+00:00,2620.5,1198,1202,39.4,2.187,3.1,145.1,160.0,0,2.6205,7.620804755372657
Long run,2024-09-18 19:22:51+00:00,10008.1,4109,4145,78.9,2.436,6.222,,,0,10.0081,6.8418308702791455
Carrera en cinta post gym suave,2024-09-09 17:24:00+00:00,2162.4,903,903,0.0,2.395,2.992,165.5,174.0,0,2.1624,6.958956158663883
4x500 Post-padel,2024-09-04 21:04:36+00:00,3627.0,1475,1507,27.4,2.459,4.946,158.9,186.0,0,3.627,6.777836518910125
Carrera de noche,2024-09-01 20:53:48+00:00,3402.0,1319,1374,35.6,2.579,6.482,167.2,178.0,1,3.402,6.462466072120976
Carrera de mañana,2024-08-03 10:33:06+00:00,2562.7,1140,1140,0.0,2.248,3.002,159.5,167.0,0,2.5627,7.414012455516013
Carrera de noche,2024-07-08 20:45:04+00:00,7003.8,2789,2806,83.4,2.511,3.653,167.7,181.0,2,7.0038,6.637475109518119
Trote post gym+nadar,2024-07-01 17:52:58+00:00,3507.7,1450,1455,36.0,2.419,3.246,164.0,176.0,0,3.5077,6.8899131872674655
Carrera de noche,2024-06-24 19:22:37+00:00,3351.7,1381,1412,43.4,2.427,3.643,155.6,170.0,0,3.3516999999999997,6.86720230737536
Carrera de noche,2024-06-03 20:17:44+00:00,3017.3,1102,1112,27.6,2.738,3.48,158.6,173.0,3,3.0173,6.08718042366691
Trote con Zuki,2024-05-21 19:47:58+00:00,3016.2,1313,1406,46.0,2.297,4.064,139.9,159.0,2,3.0162,7.255855463648236
