name,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,pr_count,pace_seconds_100m
Natación de mañana,2025-10-26 10:57:54+00:00,800.0,1251,1251,0.0,0.639,5.0,140.3,156.0,0,156.49452269170578
Natación a la hora del almuerzo,2025-10-11 12:22:12+00:00,500.0,836,836,0.0,0.598,5.0,126.8,139.0,0,167.22408026755855
Natación de noche,2025-09-26 18:10:14+00:00,500.0,796,796,0.0,0.628,2.778,146.5,150.0,0,159.23566878980893
Natación de mañana,2025-09-21 10:38:10+00:00,500.0,814,814,0.0,0.614,4.167,134.8,137.0,0,162.86644951140065
Natación de post gym,2025-09-05 14:25:21+00:00,500.0,797,797,0.0,0.627,5.0,132.2,142.0,0,159.48963317384369
Natación de noche,2025-08-22 18:28:27+00:00,387.0,582,582,14.2,0.665,0.97,140.7,145.0,0,150.37593984962405
Natación de tarde,2025-08-13 17:51:24+00:00,1000.0,1475,1475,0.0,0.678,5.0,138.9,146.0,0,147.49262536873155
Natación de tarde,2025-08-08 14:32:14+00:00,500.0,843,843,0.0,0.593,1.667,136.9,159.0,0,168.63406408094437
Natación de tarde,2025-08-04 14:03:37+00:00,600.0,920,920,0.0,0.652,2.273,136.1,140.0,0,153.37423312883436
Natación de mañana,2025-07-26 10:13:13+00:00,800.0,1125,1125,0.0,0.711,5.0,137.9,150.0,0,140.64697609001408
Natación de tarde,2025-07-24 16:58:35+00:00,800.0,1131,1131,0.0,0.707,5.0,146.5,161.0,0,141.44271570014146
Natación de tarde,2025-07-21 17:10:00+00:00,800.0,1242,1242,0.0,0.644,5.0,132.3,141.0,0,155.27950310559007
Natación de tarde,2025-07-17 13:30:55+00:00,500.0,789,789,0.0,0.634,0.862,129.6,138.0,0,157.72870662460568
Natación de tarde,2025-07-07 17:40:00+00:00,1500.0,2273,2273,0.0,0.66,5.0,138.2,156.0,0,151.5151515151515
Natación de tarde,2025-07-03 14:09:50+00:00,1000.0,1369,1369,0.0,0.73,5.0,126.7,157.0,0,136.986301369863
Natación a la hora del almuerzo,2025-06-30 12:51:22+00:00,750.0,1135,1135,0.0,0.661,4.167,138.0,147.0,0,151.285930408472
Natación de tarde,2025-06-25 17:42:09+00:00,1000.0,1745,1745,0.0,0.573,5.0,124.3,138.0,0,174.52006980802793
Natación de tarde,2025-06-23 17:47:05+00:00,800.0,1144,1144,0.0,0.699,4.167,131.0,148.0,0,143.06151645207441
Natación de tarde,2025-06-16 17:21:00+00:00,800.0,1232,1232,0.0,0.649,4.167,141.9,155.0,0,154.08320493066256
Natación de noche,2025-06-11 18:21:41+00:00,1250.0,1988,1989,0.0,0.629,5.0,125.5,145.0,0,158.9825119236884
Natación post gym,2025-05-11 11:40:29+00:00,750.0,1232,1232,0.0,0.609,5.0,143.8,155.0,0,164.20361247947454
Natación a la hora del almuerzo,2025-03-21 11:44:39+00:00,800.0,1338,1338,0.0,0.598,5.0,130.5,148.0,0,167.22408026755855
Natación de noche prepadel,2025-03-09 19:20:54+00:00,850.0,1201,1201,0.0,0.708,3.571,154.1,160.0,0,141.24293785310735
Natación de noche,2025-01-19 20:17:16+00:00,1000.0,1568,1568,0.0,0.638,5.0,143.1,152.0,0,156.7398119122257
Natación de noche,2024-12-05 20:58:24+00:00,1000.0,1539,1539,0.0,0.65,2.5,120.8,165.0,0,153.84615384615384
Long swim,2024-10-27 18:50:39+00:00,1500.0,2359,2359,0.0,0.636,0.926,141.9,146.0,0,157.2327044025157
Natación a la hora del almuerzo,2024-10-05 11:00:10+00:00,1000.0,1592,1592,0.0,0.628,4.167,135.9,148.0,0,159.23566878980893
Natación a la hora del almuerzo,2024-09-21 11:04:50+00:00,750.0,1152,1152,0.0,0.651,1.25,131.8,148.0,0,153.60983102918587
Natación post gym y carrera,2024-09-09 17:56:19+00:00,750.0,1135,1135,0.0,0.661,2.273,143.5,151.0,0,151.285930408472
Natacion post gym 40 crol,2024-08-12 17:25:00+00:00,1000.0,1660,1660,0.0,0.602,5.0,136.0,150.0,0,166.11295681063123
20crol/10braza/10crol,2024-07-01 17:08:22+00:00,1000.0,1563,1563,0.0,0.64,4.167,127.7,144.0,0,156.25
Natación a la hora del almuerzo,2024-02-09 12:00:04+00:00,1000.0,1743,1743,0.0,0.574,5.0,130.1,142.0,0,174.21602787456447
Natación a la hora del almuerzo,2023-12-03 11:26:31+00:00,1000.0,1826,1826,0.0,0.548,5.0,135.3,160.0,0,182.4817518248175
